Suburb,Site,Exposure period,Notes,Date added,Health advice
Epping,Coles Epping Plaza Shop Q002. High Street Epping VIC 3076,19/05/2021 2:50pm - 3:20pm,Case attend venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,JMD Grocers & Sweets 768 High Street Epping VIC 3076,22/05/2021 5:00pm - 5:45pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,JMD Grocers & Sweets 768 High Street Epping VIC 3076,24/05/2021 3:50pm - 4:35pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,JMD Grocers & Sweets 768 High Street Epping VIC 3076,16/05/2021 3:50pm - 4:20pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,JMD Grocers & Sweets 768 High Street Epping VIC 3076,17/05/2021 6:30pm - 7:00pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Epping,Gloria Jean's Coffees Epping Plaza 583 High Street Epping VIC 3076,15/05/2021 1:50pm - 3:00pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Blue Sapphire Coin Laundry Epping 2A Jovic Road Epping VIC 3076,22/05/2021 10:45pm - 11:59pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Blue Sapphire Coin Laundry Epping 2A Jovic Road Epping VIC 3076,23/05/2021 12:00am - 12:30am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Soprano's Pizza 746 High Street Epping VIC 3076,20/05/2021 5:50pm - 6:45pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Coles Epping Aurora Village 315A Harvest Home Rd Epping VIC 3076,25/05/2021 10:05pm - 10:45pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Liquorland Aurora Village 315A Harvest Home Rd Epping VIC 3076,24/05/2021 5:25pm - 6:05pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,APCO Service Station Epping 828-834 High Street Epping VIC 3076,11/05/2021 10:00am - 10:30am,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Fairfield,7-Eleven Fairfield East 324 Station street Fairfield VIC 3078,23/05/2021 7:45pm - 8:00pm,Case attended venue,26/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Fingal,Peninsula Hot Springs (Bathhouse Reception Only) 140 Springs Lane Fingal VIC 3939,21/05/2021 3:00pm - 3:45pm,Case attended reception area only,29/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Fitzroy,Peko Peko Fitzroy 199 Smith Street Fitzroy VIC 3065,22/05/2021 6:30pm - 7:45pm,Case dined at venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
